                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1255,                 5.7791,                 4.2459,                      0,                      0,                      0,                      0,                 2.3836,                 6.0459,                 4.1381,             0.00014341,             0.00014341,             0.00014341
                      2,                  3.122,                 5.2339,                 4.0326,                0.01959,                0.01644,                 0.0105,                0.00288,                 2.4523,                 5.0878,                 3.6639,             0.00014565,             0.00014565,             0.00014565
